method,setting,seed,simulated_target_load,macro_f1,balanced_accuracy,accuracy,min_class_recall,precision_OR,recall_OR,f1_OR,support_OR,precision_IR,recall_IR,f1_IR,support_IR,precision_B,recall_B,f1_B,support_B,precision_N,recall_N,f1_N,support_N
A3_instance_weighting,clip=2,20260916,1,0.945054945054945,0.9642857142857143,0.9285714285714286,0.8571428571428571,1.0,0.8571428571428571,0.9230769230769231,7,1.0,1.0,1.0,3,0.75,1.0,0.8571428571428571,3,1.0,1.0,1.0,1
A3_instance_weighting,clip=5,20260916,1,0.945054945054945,0.9642857142857143,0.9285714285714286,0.8571428571428571,1.0,0.8571428571428571,0.9230769230769231,7,1.0,1.0,1.0,3,0.75,1.0,0.8571428571428571,3,1.0,1.0,1.0,1
A3_instance_weighting,clip=10,20260916,1,0.945054945054945,0.9642857142857143,0.9285714285714286,0.8571428571428571,1.0,0.8571428571428571,0.9230769230769231,7,1.0,1.0,1.0,3,0.75,1.0,0.8571428571428571,3,1.0,1.0,1.0,1
A0_no_transfer,frozen_rf,20260916,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,1.0,1.0,1.0,3,1.0,1.0,1.0,3,1.0,1.0,1.0,1
A2_CORAL,reg=0.001,20260916,2,0.8974358974358975,0.9642857142857143,0.9285714285714286,0.8571428571428571,1.0,0.8571428571428571,0.9230769230769231,7,1.0,1.0,1.0,3,1.0,1.0,1.0,3,0.5,1.0,0.6666666666666666,1
A2_CORAL,reg=0.01,20260916,2,0.8974358974358975,0.9642857142857143,0.9285714285714286,0.8571428571428571,1.0,0.8571428571428571,0.9230769230769231,7,1.0,1.0,1.0,3,1.0,1.0,1.0,3,0.5,1.0,0.6666666666666666,1
A2_CORAL,reg=0.1,20260916,2,0.8974358974358975,0.9642857142857143,0.9285714285714286,0.8571428571428571,1.0,0.8571428571428571,0.9230769230769231,7,1.0,1.0,1.0,3,1.0,1.0,1.0,3,0.5,1.0,0.6666666666666666,1
A3_instance_weighting,clip=2,20260916,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,1.0,1.0,1.0,3,1.0,1.0,1.0,3,1.0,1.0,1.0,1
A3_instance_weighting,clip=5,20260916,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,1.0,1.0,1.0,3,1.0,1.0,1.0,3,1.0,1.0,1.0,1
A3_instance_weighting,clip=10,20260916,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,1.0,1.0,1.0,3,1.0,1.0,1.0,3,1.0,1.0,1.0,1
A0_no_transfer,frozen_rf,20260916,3,0.945054945054945,0.9642857142857143,0.9285714285714286,0.8571428571428571,1.0,0.8571428571428571,0.9230769230769231,7,1.0,1.0,1.0,3,0.75,1.0,0.8571428571428571,3,1.0,1.0,1.0,1
A2_CORAL,reg=0.001,20260916,3,0.9333333333333333,0.9166666666666666,0.9285714285714286,0.6666666666666666,0.875,1.0,0.9333333333333333,7,1.0,0.6666666666666666,0.8,3,1.0,1.0,1.0,3,1.0,1.0,1.0,1
A2_CORAL,reg=0.01,20260916,3,0.9333333333333333,0.9166666666666666,0.9285714285714286,0.6666666666666666,0.875,1.0,0.9333333333333333,7,1.0,0.6666666666666666,0.8,3,1.0,1.0,1.0,3,1.0,1.0,1.0,1
A2_CORAL,reg=0.1,20260916,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,1.0,1.0,1.0,3,1.0,1.0,1.0,3,1.0,1.0,1.0,1
A3_instance_weighting,clip=2,20260916,3,0.945054945054945,0.9642857142857143,0.9285714285714286,0.8571428571428571,1.0,0.8571428571428571,0.9230769230769231,7,1.0,1.0,1.0,3,0.75,1.0,0.8571428571428571,3,1.0,1.0,1.0,1
A3_instance_weighting,clip=5,20260916,3,0.945054945054945,0.9642857142857143,0.9285714285714286,0.8571428571428571,1.0,0.8571428571428571,0.9230769230769231,7,1.0,1.0,1.0,3,0.75,1.0,0.8571428571428571,3,1.0,1.0,1.0,1
A3_instance_weighting,clip=10,20260916,3,0.945054945054945,0.9642857142857143,0.9285714285714286,0.8571428571428571,1.0,0.8571428571428571,0.9230769230769231,7,1.0,1.0,1.0,3,0.75,1.0,0.8571428571428571,3,1.0,1.0,1.0,1
