case_id,case_role,feature,feature_group,path_importance,rank,explained_label
G,target_prediction,fd_centroid_hz_0_6k,spectrum,0.017798266388664764,16,OR
G,target_prediction,env_energy_ratio_150_300,envelope,0.013964197707140377,17,OR
G,target_prediction,fd_energy_ratio_500_1500,spectrum,0.01393327095321031,18,OR
G,target_prediction,env_kurtosis,envelope,0.012904146345119312,19,OR
G,target_prediction,env_energy_ratio_0_50,envelope,0.008568569097490153,20,OR
G,target_prediction,fd_energy_ratio_3000_6000,spectrum,0.007222610368735769,21,OR
G,target_prediction,fd_entropy_0_6k,spectrum,0.004523270245094592,22,OR
G,target_prediction,td_impulse_factor,impact,0.003133110939684887,23,OR
G,target_prediction,env_centroid_hz_0_500,envelope,0.00294166248966452,24,OR
G,target_prediction,env_energy_ratio_300_500,envelope,0.002775870296300182,25,OR
G,target_prediction,td_skewness,time_shape,0.002759761156132919,26,OR
G,target_prediction,td_clearance_factor,impact,0.0015783130810525696,27,OR
G,target_prediction,td_crest_factor,impact,0.0004844327775783896,28,OR
H,target_prediction,env_rms,envelope,0.12756719388643836,1,OR
H,target_prediction,td_peak_abs,impact,0.1072106395539914,2,OR
H,target_prediction,td_ptp,impact,0.10378388037488696,3,OR
H,target_prediction,td_std,time_energy,0.09340401620119265,4,OR
H,target_prediction,env_entropy_0_500,envelope,0.08156583011920576,5,OR
H,target_prediction,td_rms,time_energy,0.07350610194528444,6,OR
H,target_prediction,fd_energy_ratio_1500_3000,spectrum,0.0674351636459154,7,OR
H,target_prediction,fd_f95_hz_0_6k,spectrum,0.05777752111615673,8,OR
H,target_prediction,fd_dominant_hz_0_6k,spectrum,0.03460342438194632,9,OR
H,target_prediction,td_zero_cross_rate,time_shape,0.03339043673884511,10,OR
H,target_prediction,env_energy_ratio_50_150,envelope,0.03075036388431156,11,OR
H,target_prediction,env_dominant_hz_0_500,envelope,0.025877547399323284,12,OR
H,target_prediction,td_shape_factor,time_shape,0.025119394953413234,13,OR
H,target_prediction,td_kurtosis,impact,0.023342895208022376,14,OR
H,target_prediction,env_energy_ratio_150_300,envelope,0.0205919275940925,15,OR
H,target_prediction,fd_centroid_hz_0_6k,spectrum,0.019071684585279084,16,OR
H,target_prediction,fd_energy_ratio_0_500,spectrum,0.018995751138110445,17,OR
H,target_prediction,fd_energy_ratio_500_1500,spectrum,0.013350465964260549,18,OR
H,target_prediction,env_kurtosis,envelope,0.013031703178691989,19,OR
H,target_prediction,fd_energy_ratio_3000_6000,spectrum,0.0076288548949586255,20,OR
H,target_prediction,env_energy_ratio_0_50,envelope,0.00755601195887558,21,OR
H,target_prediction,td_impulse_factor,impact,0.0047032171049202045,22,OR
H,target_prediction,env_centroid_hz_0_500,envelope,0.003733168366991189,23,OR
H,target_prediction,td_clearance_factor,impact,0.0021588291699761275,24,OR
H,target_prediction,env_energy_ratio_300_500,envelope,0.0018445496455034838,25,OR
H,target_prediction,fd_entropy_0_6k,spectrum,0.0013508272809599397,26,OR
H,target_prediction,td_crest_factor,impact,0.0005544938845478863,27,OR
H,target_prediction,td_skewness,time_shape,9.410582389896124e-05,28,OR
I,target_prediction,env_rms,envelope,0.12622638565968833,1,OR
I,target_prediction,td_peak_abs,impact,0.10619796464164692,2,OR
I,target_prediction,td_ptp,impact,0.10088473016902826,3,OR
I,target_prediction,td_std,time_energy,0.09485205485297103,4,OR
I,target_prediction,env_entropy_0_500,envelope,0.080687745778462,5,OR
I,target_prediction,td_rms,time_energy,0.07518716984488788,6,OR
I,target_prediction,fd_energy_ratio_1500_3000,spectrum,0.06970775845239262,7,OR
