case_id,window_id,window_start_s,domain,explained_label,feature,window_score,score_drop_when_occluded
SRC_OR_REP,WIN-ff675681894bc84fb826,1.0,source,OR,envelope_rms,1.0,0.12
SRC_OR_REP,WIN-ff675681894bc84fb826,1.0,source,OR,envelope_kurtosis,1.0,0.06459595959595954
SRC_OR_REP,WIN-ff675681894bc84fb826,1.0,source,OR,envelope_spectral_entropy,1.0,0.18333333333333335
SRC_OR_REP,WIN-aa46db7a66608312e249,1.5,source,OR,mean,1.0,0.0
SRC_OR_REP,WIN-aa46db7a66608312e249,1.5,source,OR,std,1.0,0.10333333333333339
SRC_OR_REP,WIN-aa46db7a66608312e249,1.5,source,OR,rms,1.0,0.09571428571428575
SRC_OR_REP,WIN-aa46db7a66608312e249,1.5,source,OR,mean_abs,1.0,0.01666666666666672
SRC_OR_REP,WIN-aa46db7a66608312e249,1.5,source,OR,peak_abs,1.0,0.03428571428571425
SRC_OR_REP,WIN-aa46db7a66608312e249,1.5,source,OR,peak_to_peak,1.0,0.03777777777777791
SRC_OR_REP,WIN-aa46db7a66608312e249,1.5,source,OR,skewness,1.0,0.0
SRC_OR_REP,WIN-aa46db7a66608312e249,1.5,source,OR,kurtosis,1.0,0.01666666666666672
SRC_OR_REP,WIN-aa46db7a66608312e249,1.5,source,OR,crest_factor,1.0,0.026666666666666616
SRC_OR_REP,WIN-aa46db7a66608312e249,1.5,source,OR,impulse_factor,1.0,0.06333333333333335
SRC_OR_REP,WIN-aa46db7a66608312e249,1.5,source,OR,shape_factor,1.0,0.036111111111111094
SRC_OR_REP,WIN-aa46db7a66608312e249,1.5,source,OR,clearance_factor,1.0,0.09600000000000009
SRC_OR_REP,WIN-aa46db7a66608312e249,1.5,source,OR,zero_cross_rate,1.0,0.0
SRC_OR_REP,WIN-aa46db7a66608312e249,1.5,source,OR,spectral_centroid_hz,1.0,0.0
SRC_OR_REP,WIN-aa46db7a66608312e249,1.5,source,OR,spectral_rms_hz,1.0,0.0
SRC_OR_REP,WIN-aa46db7a66608312e249,1.5,source,OR,spectral_entropy,1.0,0.0
SRC_OR_REP,WIN-aa46db7a66608312e249,1.5,source,OR,spectral_flatness,1.0,0.023333333333333317
SRC_OR_REP,WIN-aa46db7a66608312e249,1.5,source,OR,dominant_frequency_hz,1.0,0.0
SRC_OR_REP,WIN-aa46db7a66608312e249,1.5,source,OR,rolloff95_hz,1.0,0.23333333333333328
SRC_OR_REP,WIN-aa46db7a66608312e249,1.5,source,OR,band_ratio_0_500,1.0,0.08666666666666667
SRC_OR_REP,WIN-aa46db7a66608312e249,1.5,source,OR,band_ratio_500_1500,1.0,0.0033333333333332993
SRC_OR_REP,WIN-aa46db7a66608312e249,1.5,source,OR,band_ratio_1500_3000,1.0,0.010000000000000009
SRC_OR_REP,WIN-aa46db7a66608312e249,1.5,source,OR,band_ratio_3000_5500,1.0,0.020000000000000018
SRC_OR_REP,WIN-aa46db7a66608312e249,1.5,source,OR,envelope_rms,1.0,0.1233333333333333
SRC_OR_REP,WIN-aa46db7a66608312e249,1.5,source,OR,envelope_kurtosis,1.0,0.07459595959595955
SRC_OR_REP,WIN-aa46db7a66608312e249,1.5,source,OR,envelope_spectral_entropy,1.0,0.18666666666666665
SRC_OR_REP,WIN-379f90e88480a639fdbd,2.0,source,OR,mean,0.9966666666666667,0.0
SRC_OR_REP,WIN-379f90e88480a639fdbd,2.0,source,OR,std,0.9966666666666667,0.10999999999999999
SRC_OR_REP,WIN-379f90e88480a639fdbd,2.0,source,OR,rms,0.9966666666666667,0.09571428571428575
SRC_OR_REP,WIN-379f90e88480a639fdbd,2.0,source,OR,mean_abs,0.9966666666666667,0.01666666666666672
SRC_OR_REP,WIN-379f90e88480a639fdbd,2.0,source,OR,peak_abs,0.9966666666666667,0.030952380952380953
SRC_OR_REP,WIN-379f90e88480a639fdbd,2.0,source,OR,peak_to_peak,0.9966666666666667,0.03777777777777791
SRC_OR_REP,WIN-379f90e88480a639fdbd,2.0,source,OR,skewness,0.9966666666666667,0.0
SRC_OR_REP,WIN-379f90e88480a639fdbd,2.0,source,OR,kurtosis,0.9966666666666667,0.01666666666666672
SRC_OR_REP,WIN-379f90e88480a639fdbd,2.0,source,OR,crest_factor,0.9966666666666667,0.026666666666666727
SRC_OR_REP,WIN-379f90e88480a639fdbd,2.0,source,OR,impulse_factor,0.9966666666666667,0.06666666666666665
SRC_OR_REP,WIN-379f90e88480a639fdbd,2.0,source,OR,shape_factor,0.9966666666666667,0.04166666666666674
SRC_OR_REP,WIN-379f90e88480a639fdbd,2.0,source,OR,clearance_factor,0.9966666666666667,0.08933333333333338
SRC_OR_REP,WIN-379f90e88480a639fdbd,2.0,source,OR,zero_cross_rate,0.9966666666666667,0.0
SRC_OR_REP,WIN-379f90e88480a639fdbd,2.0,source,OR,spectral_centroid_hz,0.9966666666666667,0.0
SRC_OR_REP,WIN-379f90e88480a639fdbd,2.0,source,OR,spectral_rms_hz,0.9966666666666667,0.0
SRC_OR_REP,WIN-379f90e88480a639fdbd,2.0,source,OR,spectral_entropy,0.9966666666666667,0.0
SRC_OR_REP,WIN-379f90e88480a639fdbd,2.0,source,OR,spectral_flatness,0.9966666666666667,0.023333333333333317
SRC_OR_REP,WIN-379f90e88480a639fdbd,2.0,source,OR,dominant_frequency_hz,0.9966666666666667,0.0
SRC_OR_REP,WIN-379f90e88480a639fdbd,2.0,source,OR,rolloff95_hz,0.9966666666666667,0.22999999999999998
SRC_OR_REP,WIN-379f90e88480a639fdbd,2.0,source,OR,band_ratio_0_500,0.9966666666666667,0.09000000000000008
SRC_OR_REP,WIN-379f90e88480a639fdbd,2.0,source,OR,band_ratio_500_1500,0.9966666666666667,0.0033333333333334103
SRC_OR_REP,WIN-379f90e88480a639fdbd,2.0,source,OR,band_ratio_1500_3000,0.9966666666666667,0.010000000000000009
SRC_OR_REP,WIN-379f90e88480a639fdbd,2.0,source,OR,band_ratio_3000_5500,0.9966666666666667,0.020000000000000018
SRC_OR_REP,WIN-379f90e88480a639fdbd,2.0,source,OR,envelope_rms,0.9966666666666667,0.1233333333333334
SRC_OR_REP,WIN-379f90e88480a639fdbd,2.0,source,OR,envelope_kurtosis,0.9966666666666667,0.06792929292929295
SRC_OR_REP,WIN-379f90e88480a639fdbd,2.0,source,OR,envelope_spectral_entropy,0.9966666666666667,0.19000000000000006
SRC_OR_REP,WIN-339a9add6d74c0b99029,2.5,source,OR,mean,1.0,0.0
SRC_OR_REP,WIN-339a9add6d74c0b99029,2.5,source,OR,std,1.0,0.10999999999999999
SRC_OR_REP,WIN-339a9add6d74c0b99029,2.5,source,OR,rms,1.0,0.09571428571428575
SRC_OR_REP,WIN-339a9add6d74c0b99029,2.5,source,OR,mean_abs,1.0,0.01666666666666672
SRC_OR_REP,WIN-339a9add6d74c0b99029,2.5,source,OR,peak_abs,1.0,0.030952380952380953
