experiment_id,outer_test_load,config,inner_macro_f1,inner_balanced_accuracy,inner_min_class_recall,mean_features_used
E1_logreg_sqrt_class_balance,1,"{""C"": 0.1}",0.7337301587301587,0.7420634920634921,0.3333333333333333,28.0
E1_logreg_sqrt_class_balance,2,"{""C"": 1.0}",0.7856532356532356,0.7976190476190476,0.5079365079365079,28.0
E1_logreg_sqrt_class_balance,2,"{""C"": 10.0}",0.7570436507936508,0.753968253968254,0.4444444444444444,28.0
E1_logreg_sqrt_class_balance,2,"{""C"": 0.1}",0.6839285714285714,0.6865079365079364,0.2222222222222222,28.0
E1_logreg_sqrt_class_balance,3,"{""C"": 1.0}",0.8126373626373627,0.8253968253968255,0.5079365079365079,28.0
E1_logreg_sqrt_class_balance,3,"{""C"": 10.0}",0.8093635531135531,0.8095238095238094,0.5079365079365079,28.0
E1_logreg_sqrt_class_balance,3,"{""C"": 0.1}",0.7136904761904761,0.7142857142857143,0.3333333333333333,28.0
E2_logreg_corr95,0,"{""C"": 10.0}",0.9633699633699634,0.9761904761904763,0.9047619047619048,21.333333333333332
E2_logreg_corr95,0,"{""C"": 1.0}",0.9450549450549449,0.9642857142857143,0.8571428571428571,21.333333333333332
E2_logreg_corr95,0,"{""C"": 0.1}",0.9228937728937728,0.9365079365079364,0.7936507936507936,21.333333333333332
E2_logreg_corr95,1,"{""C"": 1.0}",0.8347985347985348,0.8531746031746031,0.5714285714285714,21.666666666666668
E2_logreg_corr95,1,"{""C"": 0.1}",0.7856532356532356,0.7976190476190476,0.5079365079365079,21.666666666666668
E2_logreg_corr95,1,"{""C"": 10.0}",0.7841269841269841,0.7976190476190476,0.4444444444444444,21.666666666666668
E2_logreg_corr95,2,"{""C"": 1.0}",0.8347985347985348,0.8531746031746031,0.5714285714285714,21.666666666666668
E2_logreg_corr95,2,"{""C"": 0.1}",0.7856532356532356,0.7976190476190476,0.5079365079365079,21.666666666666668
E2_logreg_corr95,2,"{""C"": 10.0}",0.7808531746031746,0.7817460317460316,0.4444444444444444,21.666666666666668
E2_logreg_corr95,3,"{""C"": 10.0}",0.8308913308913309,0.8373015873015873,0.5079365079365079,21.333333333333332
E2_logreg_corr95,3,"{""C"": 1.0}",0.8126373626373627,0.8253968253968255,0.5079365079365079,21.333333333333332
E2_logreg_corr95,3,"{""C"": 0.1}",0.765018315018315,0.7698412698412698,0.5079365079365079,21.333333333333332
E3_random_forest,0,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",0.9633699633699634,0.9761904761904763,0.9047619047619048,28.0
E3_random_forest,0,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 300}",0.9633699633699634,0.9761904761904763,0.9047619047619048,28.0
E3_random_forest,0,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",0.9633699633699634,0.9761904761904763,0.9047619047619048,28.0
E3_random_forest,0,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 300}",0.9633699633699634,0.9761904761904763,0.9047619047619048,28.0
E3_random_forest,1,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 300}",0.9194597069597069,0.9365079365079364,0.7936507936507936,28.0
E3_random_forest,1,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 300}",0.9194597069597069,0.9365079365079364,0.7936507936507936,28.0
E3_random_forest,1,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",0.8889652014652015,0.9087301587301587,0.6825396825396824,28.0
E3_random_forest,1,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",0.8889652014652015,0.9087301587301587,0.6825396825396824,28.0
E3_random_forest,2,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",0.8889652014652015,0.9087301587301587,0.6825396825396824,28.0
E3_random_forest,2,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 300}",0.8889652014652015,0.9087301587301587,0.6825396825396824,28.0
E3_random_forest,2,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",0.8889652014652015,0.9087301587301587,0.6825396825396824,28.0
E3_random_forest,2,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 300}",0.8889652014652015,0.9087301587301587,0.6825396825396824,28.0
E3_random_forest,3,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 300}",0.9377747252747253,0.9484126984126985,0.8412698412698413,28.0
E3_random_forest,3,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 300}",0.9377747252747253,0.9484126984126985,0.8412698412698413,28.0
E3_random_forest,3,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",0.915552503052503,0.9206349206349206,0.7301587301587301,28.0
E3_random_forest,3,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",0.915552503052503,0.9206349206349206,0.7301587301587301,28.0
